Lab Name,Sectors,Location,Institution,Latitude,Longitude
Analytical Chemistry Laboratory - CanmetMINING,"Environmental technologies and related services, Mining, minerals and metals","555 Booth Street, Ottawa, ON, K1A 0G1, Canada",Natural Resources Canada,45.4024061,-75.7060068
Analytical Facility for Bioactive Molecules (AFBM),"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","686 Bay Street, Toronto, ON, M5G 0A4, Canada",The Hospital for Sick Children,43.6575389,-79.38473239999999
"Analytical Services Unit (ASU), School of Environmental Studies","Chemical industries, Energy, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment, Mining, minerals and metals","116 Barrie Street, Kingston, ON, K7L 3N6, Canada",Queen's University,44.2263363,-76.4912919
André E. Lalonde Accelerator Mass Spectrometry (AMS) Laboratory,"Agriculture, animal science and food, Arts and cultural industries, Defence and security industries, Energy, Environmental technologies and related services","25 Templeton Street, Ottawa, ON, K1N 6N5, Canada",University of Ottawa,45.42095620000001,-75.678484
Animal Behaviour and Physiology Core,"Education, Life sciences, pharmaceuticals and medical equipment","451 Smyth Road, Ottawa, ON, K1H 8M5, Canada",University of Ottawa,45.4022554,-75.6501784
Animal Resources Centre,"Agriculture, animal science and food, Life sciences, pharmaceuticals and medical equipment","101 College Street, Toronto, ON, M5G 1L7, Canada",University Health Network,43.6598399,-79.3880784
Applied Dynamics Laboratory (ADL),"Construction (including building, civil engineering, specialty trades), Defence and security industries, Energy, Professional and technical services (including legal services, architecture, engineering), Transportation","1280 Main Street West, Hamilton, ON, L8S 4L8, Canada",McMaster University,43.2613739,-79.9210947
Applied Law Enforcement Research and Training (ALERT) Laboratory,Healthcare and social services,"55 Bond Street, Oshawa, ON, L1G 1B9, Canada",Ontario Tech University (University of Ontario Institute of Technology),43.8983749,-78.8618852
Applied Mineralogy - CanmetMINING,"Clean technology, Energy, Environmental technologies and related services, Mining, minerals and metals","555 Booth Street, Ottawa, ON, K1A 0G1, Canada",Natural Resources Canada,45.4024061,-75.7060068
Aquatic Omics Lab,"Education, Energy, Environmental technologies and related services, Fisheries and aquaculture, Life sciences, pharmaceuticals and medical equipment, Mining, minerals and metals, Tourism and hospitality, Utilities","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology),43.9450679,-78.8966193
ASD Studies @ Queen’s,Healthcare and social services,"62 Arch Street, Kingston, ON, K7L 3N6, Canada",Queen's University,44.2268779,-76.4921138
Atmospheric Chemistry Instrumentation for Field Measurements,"Agriculture, animal science and food, Energy, Environmental technologies and related services, Forestry and forest-based industries","Lash Miller, 80 St George St, Toronto, ON, M5S 3H6, Canada",University of Toronto,43.66178439999999,-79.3977525
Atmospheric Greenhouse Gas Measurement Laboratory,"Aerospace and satellites, Energy","60 St. George Street, Toronto, ON, M5S1J7, Canada",University of Toronto,43.6611866,-79.39768649999999
Autonomous Vehicle and Electro-Hydraulic Control (AVEC) Lab,"Construction (including building, civil engineering, specialty trades), Information and communication technologies and media, Transportation","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology),43.9450679,-78.8966193
Barz Lab,"Automotive, Chemical industries, Clean technology, Defence and security industries, Education, Energy, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals","19 Division St., Kingston, ON, K7L 2N9, Canada",Queen's University,44.2286331,-76.49271279999999
Battery Testing and Optimisation Facility,"Aerospace and satellites, Automotive, Clean technology, Consumer durables, Defence and security industries, Energy, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment, Transportation, Utilities","1200 Montreal Road, Ottawa, ON, K4A 3T7, Canada",National Research Council Canada,45.4421928,-75.6176002
Beazely Lab at the School of Pharmacy,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","10 Victoria Street South, Kitchener, ON, N2G 1C5, Canada",University of Waterloo,43.4527226,-80.49877769999999
Behavioural Acoustic Research Facility,"Agriculture, animal science and food","1125 Colonel By Drive, Ottawa, ON, K1S 5B6, Canada",Carleton University,45.38146159999999,-75.69917389999999
Bio-Industrial Process Research Centre (BPRC),"Agriculture, animal science and food, Clean technology, Energy, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment","1457 London Rd., Sarnia, ON, N7S 6K4, Canada",Lambton College,42.9756753,-82.347284
Bioinformatics and Comparative Genomics Lab,"Agriculture, animal science and food, Life sciences, pharmaceuticals and medical equipment","500 Glenridge Avenue, St. Catharines, ON, L2S 3A1, Canada",Brock University,43.1186437,-79.2482463
Bioinformatics Core Facility,"Agriculture, animal science and food, Fisheries and aquaculture, Life sciences, pharmaceuticals and medical equipment, Ocean industries","501 Smyth Road, Ottawa, ON, K1H 8L6, Canada",University of Ottawa,45.40100899999999,-75.6477007
Biointerfaces Institute,"Agriculture, animal science and food, Automotive, Chemical industries, Education, Environmental technologies and related services, Forestry and forest-based industries, Healthcare and social services, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals","Engineering Technology Building, Hamilton, ON, L8S 0A3, Canada",McMaster University,43.2585304,-79.9200572
Biomarker Imaging Research Lab (BIRL),"Life sciences, pharmaceuticals and medical equipment","2075 Bayview Avenue, Toronto, ON, M4N 3M5, Canada",Sunnybrook Health Sciences Centre,43.7217772,-79.3759788
Biomedical Sensors and Signals Laboratory,"Agriculture, animal science and food, Defence and security industries, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","Canal Building 6107, 1125 Colonel By Drive, Ottawa, ON, K1S 5B6, Canada",Carleton University,45.38146159999999,-75.69917389999999
Biomolecular EPR Spectroscopy Centre / Structural Neurobiology Lab,"Education, Life sciences, pharmaceuticals and medical equipment","1 King’s College Circle, Medical Sciences Building, Toronto, ON, M5S 1A8, Canada",University of Toronto,43.66080050000001,-79.39350089999999
Bionanocorrosion Lab,"Automotive, Construction (including building, civil engineering, specialty trades), Energy, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Transportation","1151 Richmond Street, London, ON, N6A 5B7, Canada",Western University (The University of Western Ontario),43.0083511,-81.2620991
Biophysics and Evolutionary Dynamics Laboratory,"Education, Life sciences, pharmaceuticals and medical equipment","60 St. George Street, Toronto, ON, M5S 1A7, Canada",University of Toronto,43.66077860000001,-79.3982545
Biostatistics Unit,"Education, Healthcare and social services","50 Charlton Avenue East, Hamilton, ON, L8N 4A6, Canada",St. Joseph's Healthcare Hamilton,43.2487042,-79.8709837
Biotechnology Research and Innovation Hub (BioHub),"Agriculture, animal science and food, Chemical industries, Clean technology, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment","299 Doon Valley Drive, Kitchener, ON, N2G 4M4, Canada",Conestoga College Institute of Technology and Advanced Learning,43.3898568,-80.4054637
Bloorview Research Institute,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","150 Kilgour Road, Toronto, ON, M4G 1R8, Canada",Holland Bloorview Kids Rehabilitation Hospital,43.7182827,-79.3741091
Brain Health Imaging Centre,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","250 College Street, Toronto, ON, M5T 1R8, Canada",Centre for Addiction and Mental Health (CAMH),43.6589067,-79.3988066
Brian Cox Laboratory,"Agriculture, animal science and food, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","1 King’s College Circle, Toronto, ON, M5S 1A8, Canada",University of Toronto,43.66080059999999,-79.3935011
Brockhouse Institute for Materials Research (BIMR) Research Facilities,"Automotive, Chemical industries, Education, Energy, Life sciences, pharmaceuticals and medical equipment","1280 Main St. W., Hamilton, ON, L8S 4M1, Canada",McMaster University,43.258822,-79.9209321
Business Analytics and AI Research Group,"Consumer durables, Consumer non-durables, Financial services and insurance, Healthcare and social services, Information and communication technologies and media, Management and business related services","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology),43.9450679,-78.8966193
Canadian Centre for Electron Microscopy (CCEM),"Aerospace and satellites, Automotive, Chemical industries, Clean technology, Defence and security industries, Energy, Environmental technologies and related services, Information and communication technologies and media, Manufacturing and processing, Mining, minerals and metals","1280 Main Street West, Hamilton, ON, L8S 4M1, Canada",McMaster University,43.258822,-79.9209321
Canadian Centre for Field Robotics (CCFR),"Defence and security industries, Energy, Forestry and forest-based industries, Mining, minerals and metals, Utilities","4700 Keele Street, Toronto, ON, M3J 1P3, Canada",York University,43.7716501,-79.5013207
Canadian Centre for Housing Technology,"Automotive, Clean technology, Construction (including building, civil engineering, specialty trades), Consumer durables, Energy, Environmental technologies and related services, Information and communication technologies and media, Manufacturing and processing, Professional and technical services (including legal services, architecture, engineering), Utilities","1200 Montreal Road, Ottawa, ON, K1A 0R6, Canada",National Research Council Canada,45.4460011,-75.6195559
Canadian Certified Reference Material Project (CCRMP) – CanmetMINING,"Energy, Environmental technologies and related services, Mining, minerals and metals","555 Booth Street, Ottawa, ON, K1A 0G1, Canada",Natural Resources Canada,45.4024061,-75.7060068
Canadian Conservation Institute,Arts and cultural industries,"1030 Innes Road, Ottawa, ON, K1B 4S7, Canada",Canadian Conservation Institute,45.4069547,-75.6253112
Canadian Institute of Theoretical Astrophysics,Aerospace and satellites,"McLennan Physical Laboratories, 60 St. George Street, Toronto, ON, M5R 2M8, Canada",University of Toronto,43.6611866,-79.39768649999999
Canadian Neutron and Positron Beam Laboratory,"Education, Energy, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","1280 Main Street W, Hamilton, ON, L8S 4M1, Canada",McMaster University,43.258822,-79.9209321
Canadian Nutrient File SNAP-CAN Reference Laboratory,"Agriculture, animal science and food, Life sciences, pharmaceuticals and medical equipment","Frederick G Banting Building, Ottawa, ON, K1A 0K9, Canada",Health Canada,45.4048101,-75.741801
Canadian Photonics Fabrication Centre,"Information and communication technologies and media, Manufacturing and processing","1200 Montreal Road, Ottawa, ON, K1A 0R6, Canada",National Research Council Canada,45.4460011,-75.6195559
Canadian Surgical Technologies & Advanced Robotics (CSTAR),,"339 Windermere Road, London, ON, N6A 5A5, Canada",Western University (The University of Western Ontario),43.0123469,-81.27503209999999
Capillary Electrophoresis Chromatographic Separation - Centre for Biologics Evaluation,"Life sciences, pharmaceuticals and medical equipment","Frederick G Banting Building, Ottawa, ON, K1A 0K9, Canada",Health Canada,45.4048101,-75.741801
Carleton EXO-experiment Ion Trap Laboratory,Education,"Physics Department, Herzberg Laboratory, 1125 Colonel By Drive, Ottawa, ON, K1S 5B6, Canada",Carleton University,45.3820816,-75.69737909999999
Carleton Facility for the Study of Plant Metabolism and Development,"Agriculture, animal science and food, Chemical industries, Education, Energy, Forestry and forest-based industries, Life sciences, pharmaceuticals and medical equipment","Nesbitt Biology Building, 1125 Colonel By Drive, Ottawa, ON, K1S 5B6, Canada",Carleton University,45.3839726,-75.6932751
Castroverde Lab (Plant Immunity and Stress Biology),"Agriculture, animal science and food, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment","75 University Ave W, Waterloo, ON, N2L 3C5, Canada",Wilfrid Laurier University,43.4739259,-80.5294886
Cell Biology and Image Acquisition (CBIA) Core Facility,"Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment","451 Smyth Road, Ottawa, ON, K1H 8M5, Canada",University of Ottawa,45.4022554,-75.6501784
Cell Therapy Manufacturing Facility,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","501 Smyth Road, Ottawa, ON, K1H 8L6, Canada",The Ottawa Hospital,45.40100899999999,-75.6477007
Cellular Imaging and Cytometry Facility (CICF),"Agriculture, animal science and food, Chemical industries, Education, Environmental technologies and related services, Fisheries and aquaculture, Life sciences, pharmaceuticals and medical equipment","Biosciences Building, 30 Marie-Curie Private, Ottawa, ON, K1N 9N3, Canada",University of Ottawa,45.42127079999999,-75.68146899999999
Center for Advanced Diffusion-Wave and Photoacoustic Technologies (CADIPT),"Automotive, Clean technology, Energy, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","5 King’s College Road, Toronto, ON, M5S 3G8, Canada",University of Toronto,43.66010259999999,-79.3939125
Centre for Advanced Coating Technologies (CACT),"Aerospace and satellites, Automotive, Chemical industries, Clean technology, Defence and security industries, Education, Energy, Environmental technologies and related services, Forestry and forest-based industries, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals, Transportation","Bahen Building, 40 St. George Street, Toronto, ON, M5S 2E4, Canada",University of Toronto,43.65980450000001,-79.39729799999999
Centre for Advanced Light Microscopy (CALM),"Aerospace and satellites, Agriculture, animal science and food, Chemical industries, Clean technology, Defence and security industries, Education, Energy, Environmental technologies and related services, Healthcare and social services, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals, Professional and technical services (including legal services, architecture, engineering)","1280 Main Street West, Hamilton, ON, L8S 4M1, Canada",McMaster University,43.258822,-79.9209321
Centre for Advanced Materials Joining,"Aerospace and satellites, Automotive, Defence and security industries","200 University Ave W, Waterloo, ON, N2L 3G1, Canada",University of Waterloo,43.471643,-80.5408362
Centre for Advancement of Water and Wastewater Technologies (CAWT),"Chemical industries, Clean technology, Energy, Environmental technologies and related services, Fisheries and aquaculture, Forestry and forest-based industries, Mining, minerals and metals, Utilities","200 Albert Street South, Lindsay, ON, K9V 5E6, Canada",Fleming College (Sir Sandford Fleming College),44.3410176,-78.7408718
Centre for Air Travel Research (CATR),"Aerospace and satellites, Automotive, Construction (including building, civil engineering, specialty trades), Defence and security industries, Environmental technologies and related services, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Tourism and hospitality, Transportation","1950 Research Private, Ottawa, ON, K1V 1J8, Canada",National Research Council Canada,45.3257127,-75.6649462
Centre for Applied AI (CAAI),"Healthcare and social services, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment","1430 Trafalgar Road, Oakville, ON, L6H 2L1, Canada",Sheridan College Institute of Technology and Advanced Learning,43.4690664,-79.70004109999999
Centre for Biocomposites and Biomaterials Processing (CBBP),"Agriculture, animal science and food, Automotive, Construction (including building, civil engineering, specialty trades), Education, Forestry and forest-based industries, Manufacturing and processing","33 Willcocks Street, Toronto, ON, M5S 3B3, Canada",University of Toronto,43.661433,-79.3999663
Centre for Biodiversity Genomics,"Agriculture, animal science and food, Education, Environmental technologies and related services, Fisheries and aquaculture, Forestry and forest-based industries, Healthcare and social services, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment, Mining, minerals and metals, Ocean industries, Policy and governance","50 Stone Road East, Guelph, ON, N1G 2W1, Canada",University of Guelph,43.5290504,-80.2287845
Centre for Biofouling Control,"Agriculture, animal science and food, Clean technology, Environmental technologies and related services, Fisheries and aquaculture, Life sciences, pharmaceuticals and medical equipment","80 St George Street, Toronto, ON, M5S 3H6, Canada",University of Toronto,43.6616258,-79.39825640000001
Centre for Biological Timing and Cognition (CBTC),"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","325 Huron Street, Toronto, ON, M5S 3G3, Canada",University of Toronto,43.6628194,-79.3995418
Centre for Cell and Vector Production (CCVP),"Chemical industries, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","661 University Avenue, Toronto, ON, M5G 1M1, Canada",University Health Network,43.6594491,-79.3892556
Centre for Cold Regions and Water Science,"Agriculture, animal science and food, Chemical industries, Environmental technologies and related services, Fisheries and aquaculture, Forestry and forest-based industries, Life sciences, pharmaceuticals and medical equipment, Mining, minerals and metals, Ocean industries","Wilfrid Laurier University, Waterloo, ON, N2L 3C5, Canada",Wilfrid Laurier University,43.4738499,-80.5274701
Centre for Collaborative Interactive Digital Media/Dynamic Graphics Project,"Arts and cultural industries, Information and communication technologies and media","40 St. George Street, Toronto, ON, M5S 2E4, Canada",University of Toronto,43.6595745,-79.3973729
Centre for Connected Building Technologies (CCBT),"Automotive, Clean technology, Construction (including building, civil engineering, specialty trades), Environmental technologies and related services, Manufacturing and processing","1001 Fanshawe College Blvd., London, ON, N5Y 5R6, Canada",Fanshawe College,43.013919,-81.20092869999999
Centre for Flow Cytometry and Microscopy,"Fisheries and aquaculture, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Ocean industries","M7-301, 2075 Bayview Avenue, Toronto, ON, M4N 3M5, Canada",Sunnybrook Health Sciences Centre,43.7217772,-79.3759788
Centre for Functional and Metabolic Mapping (CFMM),"Agriculture, animal science and food, Education, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Professional and technical services (including legal services, architecture, engineering)","1151 Richmond Street North, London, ON, N6A 5B7, Canada",Western University (The University of Western Ontario),43.0083511,-81.2620991
Centre for Innovative Aquaculture Production (CIAP),Fisheries and aquaculture,"200 Albert Street South, Lindsay, ON, K9V 5E6, Canada",Fleming College (Sir Sandford Fleming College),44.3410176,-78.7408718
Centre for Integrated and Advanced Medical Imaging (CIAMI),"Education, Healthcare and social services, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment, Professional and technical services (including legal services, architecture, engineering)","1400 Main Street West, Hamilton, ON, L8S 1C7, Canada",McMaster University,43.2598323,-79.920574
Centre for Intelligent Antenna and Radio Systems (CIARS),"Automotive, Information and communication technologies and media","200 University Avenue West, Waterloo, ON, N2L3G1, Canada",University of Waterloo,43.471643,-80.5408362
Centre for Intelligent Manufacturing (CIM),"Clean technology, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals, Transportation","7899 McLaughlin Road, Brampton, ON, L6Y 5H9, Canada",Sheridan College Institute of Technology and Advanced Learning,43.6563204,-79.7369904
"Centre for Learning, Social Economy and Work","Education, Information and communication technologies and media","Ontario Institute for Studies in Education, 252 Bloor St. West, Toronto, ON, M5S 1V6, Canada",University of Toronto,43.667979,-79.3983677
Centre for Mental Health Research and Treatment,Healthcare and social services,"200 University Avenue West, Waterloo, ON, N2L 3G1, Canada",University of Waterloo,43.471643,-80.5408362
Centre for Natural Products (CNP),"Agriculture, animal science and food, Chemical industries, Consumer non-durables, Life sciences, pharmaceuticals and medical equipment, Tourism and hospitality","376 Wallbridge-Loyalist Road, Belleville, ON, K8N 5B9, Canada",Loyalist College,44.15577529999999,-77.4298558
Centre for Neuroscience Studies,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","18, Stuart Street, Kingston, ON, K7L3N6, Canada",Queen's University,44.224328,-76.49139699999999
Centre for Nutrition Policy and Implementation Science Research (Arcand Lab),"Education, Healthcare and social services, Policy and governance","2000 Simcoe Street, Oshawa, ON, L1H 7K4, Canada",Ontario Tech University (University of Ontario Institute of Technology),43.9458,-78.8946
Centre for Pharmaceutical Oncology,"Life sciences, pharmaceuticals and medical equipment","Leslie Dan Faculty of Pharmacy, 144 College St., Toronto, ON, M5S 3M2, Canada",University of Toronto,43.6598101,-79.3918265
Centre for Research and Applications in Fluidic Technologies (CRAFT),"Automotive, Chemical industries, Defence and security industries, Energy, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","5 King’s College Road, Toronto, ON, M5S 3G8, Canada",University of Toronto,43.66010259999999,-79.3939125
Centre for the Neurobiology of Stress (CNS),"Education, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","1265 Military Trail, Toronto, ON, M1C 1A4, Canada",University of Toronto,43.7825961,-79.1852302
Centre for the Spectroscopic Investigation of Complex Organic Molecules and Polymers; CSICOMP NMR Facility,"Chemical industries, Clean technology, Education, Energy, Environmental technologies and related services, Fisheries and aquaculture, Forestry and forest-based industries, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals, Ocean industries","Lash Miller Labs, 80 St George Street, Toronto, ON, M5S 3H6, Canada",University of Toronto,43.66178439999999,-79.3977525
Centre for Theoretical Neuroscience,"Healthcare and social services, Information and communication technologies and media","200 University Ave West, Waterloo, ON, N2L 3G1, Canada",University of Waterloo,43.471643,-80.5408362
Centre for Vision Research,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","4700 Keele Street, Toronto, ON, M3J 1P3, Canada",York University,43.7716501,-79.5013207
"Centre on Hate, Bias and Extremism","Defence and security industries, Education, Healthcare and social services, Information and communication technologies and media, Policy and governance","55 Bond Street East, Oshawa, ON, L1G 1B2, Canada",Ontario Tech University (University of Ontario Institute of Technology),43.89862919999999,-78.8621216
Child and Family Mobile and Fixed Observation Laboratories,"Education, Healthcare and social services","Ontario Institute for Studies in Education, 252 Bloor St. W., Toronto, ON, M5S 1V6, Canada",University of Toronto,43.667979,-79.3983677
Clean Combustion Engine Laboratory (CCEL),"Automotive, Clean technology, Education, Energy, Environmental technologies and related services, Transportation","754 California Ave., Windsor, ON, N9B 2Z2, Canada",University of Windsor,42.3035398,-83.06217769999999
Clean Energy Research Laboratory (CERL),"Aerospace and satellites, Automotive, Chemical industries, Clean technology, Construction (including building, civil engineering, specialty trades), Education, Energy, Environmental technologies and related services, Transportation, Utilities","90 Simcoe Street N, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology),43.8999836,-78.8649047
Climate and Ecosystem Dynamics Research Laboratory (CEDaR),"Arts and cultural industries, Environmental technologies and related services, Forestry and forest-based industries, Policy and governance","50 Stone Rd. East, Guelph, ON, N1G 2W1, Canada",University of Guelph,43.5290504,-80.2287845
Climatic Testing Facility,"Automotive, Defence and security industries, Transportation","2320 Lester Road, Ottawa, ON, K1V 1S2, Canada",National Research Council Canada,45.3295639,-75.6482225
